split,tgt_msg,src_msg,accuracy,f1_score,precision,recall
20,7,9,0.751,0.732,0.807,0.696
20,8,0,0.747,0.727,0.78,0.697
20,8,1,0.736,0.72,0.789,0.684
20,8,2,0.736,0.72,0.789,0.684
20,8,3,0.736,0.72,0.789,0.684
20,8,4,0.736,0.72,0.789,0.684
20,8,5,0.736,0.72,0.789,0.684
20,8,6,0.736,0.72,0.789,0.684
20,8,7,0.736,0.72,0.789,0.684
20,8,8,0.753,0.736,0.801,0.702
20,8,9,0.751,0.732,0.807,0.696
20,9,0,0.747,0.727,0.78,0.697
20,9,1,0.736,0.72,0.789,0.684
20,9,2,0.736,0.72,0.789,0.684
20,9,3,0.736,0.72,0.789,0.684
20,9,4,0.736,0.72,0.789,0.684
20,9,5,0.736,0.72,0.789,0.684
20,9,6,0.736,0.72,0.789,0.684
20,9,7,0.736,0.72,0.789,0.684
20,9,8,0.736,0.72,0.789,0.684
20,9,9,0.753,0.736,0.801,0.702
30,0,0,0.754,0.735,0.778,0.707
30,0,1,0.755,0.736,0.797,0.702
30,0,2,0.755,0.736,0.797,0.702
30,0,3,0.755,0.736,0.797,0.702
30,0,4,0.755,0.736,0.797,0.702
30,0,5,0.755,0.736,0.797,0.702
30,0,6,0.755,0.736,0.797,0.702
30,0,7,0.755,0.736,0.797,0.702
30,0,8,0.755,0.736,0.797,0.702
30,0,9,0.755,0.736,0.797,0.702
30,1,0,0.745,0.725,0.784,0.69
30,1,1,0.748,0.729,0.797,0.689
30,1,2,0.737,0.721,0.794,0.682
30,1,3,0.739,0.723,0.797,0.684
30,1,4,0.739,0.723,0.797,0.684
30,1,5,0.739,0.723,0.797,0.684
30,1,6,0.739,0.723,0.797,0.684
30,1,7,0.739,0.723,0.797,0.684
30,1,8,0.739,0.723,0.797,0.684
30,1,9,0.739,0.723,0.797,0.684
30,2,0,0.745,0.725,0.784,0.69
30,2,1,0.749,0.73,0.802,0.692
30,2,2,0.748,0.729,0.797,0.689
30,2,3,0.737,0.72,0.79,0.682
30,2,4,0.737,0.721,0.794,0.682
30,2,5,0.739,0.723,0.797,0.684
30,2,6,0.739,0.723,0.797,0.684
30,2,7,0.739,0.723,0.797,0.684
30,2,8,0.739,0.723,0.797,0.684
30,2,9,0.739,0.723,0.797,0.684
30,3,0,0.745,0.725,0.784,0.69
30,3,1,0.749,0.73,0.802,0.692
30,3,2,0.747,0.728,0.801,0.689
30,3,3,0.748,0.729,0.797,0.689
30,3,4,0.737,0.72,0.79,0.682
30,3,5,0.737,0.72,0.79,0.682
30,3,6,0.737,0.721,0.794,0.682
30,3,7,0.739,0.723,0.797,0.684
30,3,8,0.739,0.723,0.797,0.684
30,3,9,0.739,0.723,0.797,0.684
30,4,0,0.745,0.725,0.784,0.69
30,4,1,0.749,0.73,0.802,0.692
30,4,2,0.748,0.729,0.802,0.691
30,4,3,0.747,0.728,0.801,0.689
30,4,4,0.748,0.729,0.797,0.689
30,4,5,0.737,0.72,0.79,0.682
30,4,6,0.737,0.72,0.79,0.682
30,4,7,0.737,0.72,0.79,0.682
30,4,8,0.737,0.721,0.794,0.682
30,4,9,0.739,0.723,0.797,0.684
30,5,0,0.745,0.725,0.784,0.69
30,5,1,0.749,0.73,0.802,0.692
30,5,2,0.749,0.73,0.802,0.692
30,5,3,0.747,0.728,0.801,0.689
30,5,4,0.747,0.728,0.801,0.689
30,5,5,0.748,0.729,0.797,0.689
30,5,6,0.737,0.72,0.79,0.682
30,5,7,0.737,0.72,0.79,0.682
30,5,8,0.737,0.72,0.79,0.682
30,5,9,0.737,0.72,0.79,0.682
30,6,0,0.745,0.725,0.784,0.69
