split,tgt_msg,src_msg,accuracy,f1_score,precision,recall
40,6,9,0.704,0.687,0.693,0.682
40,7,0,0.7,0.683,0.687,0.68
40,7,1,0.703,0.684,0.689,0.681
40,7,2,0.708,0.69,0.699,0.682
40,7,3,0.701,0.684,0.69,0.679
40,7,4,0.698,0.681,0.689,0.675
40,7,5,0.706,0.69,0.7,0.682
40,7,6,0.707,0.689,0.695,0.685
40,7,7,0.705,0.689,0.697,0.683
40,7,8,0.706,0.69,0.697,0.685
40,7,9,0.709,0.692,0.698,0.687
40,8,0,0.709,0.69,0.693,0.687
40,8,1,0.7,0.681,0.686,0.677
40,8,2,0.709,0.69,0.697,0.686
40,8,3,0.701,0.681,0.689,0.676
40,8,4,0.697,0.681,0.687,0.677
40,8,5,0.703,0.688,0.695,0.682
40,8,6,0.706,0.69,0.697,0.685
40,8,7,0.707,0.692,0.698,0.687
40,8,8,0.705,0.689,0.697,0.683
40,8,9,0.71,0.698,0.705,0.692
40,9,0,0.708,0.686,0.691,0.682
40,9,1,0.707,0.689,0.694,0.685
40,9,2,0.702,0.683,0.693,0.677
40,9,3,0.696,0.68,0.686,0.674
40,9,4,0.699,0.679,0.686,0.673
40,9,5,0.697,0.681,0.689,0.674
40,9,6,0.701,0.685,0.691,0.681
40,9,7,0.7,0.684,0.693,0.678
40,9,8,0.701,0.682,0.691,0.676
40,9,9,0.702,0.686,0.691,0.682
